rowid;ref;fecha_creacion;num_facturas
64;CT2007-0001;2021-04-06;1
65;CT2007-0002;2021-04-06;2
67;CT2007-0004;2020-11-25;7
68;CT2007-0005;2021-04-06;5
69;CT2007-0006;2021-02-13;0
70;CT2007-0007;2021-02-14;8
71;CT2007-0008;2021-01-25;5
72;CT2007-0009;2021-04-06;3
73;CT2007-0010;2021-04-06;5
74;CT2007-0011;2021-04-06;4
75;CT2007-0012;2020-12-21;5
76;CT2007-0013;2020-12-04;1
77;CT2007-0014;2021-02-14;4
78;CT2007-0015;2020-11-25;2
79;CT2007-0016;2021-02-14;0
80;CT2007-0017;2020-10-11;9
81;CT2007-0018;2020-11-03;9
82;CT2007-0019;2021-01-04;0
83;CT2007-0020;2020-11-10;7
84;CT2007-0021;2020-12-30;6
85;CT2007-0022;2021-04-06;6
86;CT2007-0023;2021-02-15;1
87;CT2007-0024;2021-01-06;0
88;CT2007-0025;2021-04-06;4
89;CT2007-0026;2021-04-06;0
90;CT2007-0027;2020-12-29;5
91;CT2007-0028;2021-02-13;2
92;CT2007-0029;2021-04-06;1
93;CT2007-0030;2021-04-06;7
94;CT2007-0031;2020-11-10;1
95;CT2007-0032;2021-04-06;6
96;CT2007-0033;2020-12-04;9
97;CT2007-0034;2021-01-25;5
98;CT2007-0035;2021-02-13;0
99;CT2007-0036;2021-04-06;3
100;CT2007-0037;2021-02-13;4
101;CT2007-0038;2021-04-06;2
102;CT2007-0039;2021-04-06;8
103;CT2007-0040;2020-12-29;1
104;CT2007-0041;2020-11-10;5
105;CT2007-0042;2021-04-06;4
106;CT2007-0043;2021-04-06;8
107;CT2007-0044;2021-04-06;0
108;CT2007-0045;2020-11-10;3
109;CT2007-0046;2021-04-06;5
110;CT2007-0047;2021-01-12;2
111;CT2007-0048;2021-04-06;3
112;CT2007-0049;2021-04-06;9
113;CT2007-0050;2021-04-06;5
114;CT2007-0051;2021-04-06;8
115;CT2007-0052;2021-01-25;2
116;CT2007-0053;2021-02-13;0
117;CT2007-0054;2021-02-13;5
118;CT2007-0055;2021-04-06;3
119;CT2007-0056;2021-04-06;3
120;CT2007-0057;2021-04-06;6
121;CT2007-0058;2021-04-06;2
122;CT2007-0059;2021-04-06;6
123;CT2007-0060;2021-04-06;6
124;CT2007-0061;2021-02-12;1
125;CT2007-0062;2021-04-06;7
126;CT2007-0063;2021-02-19;6
127;CT2007-0064;2021-04-06;7
128;CT2007-0065;2021-04-06;9
129;CT2007-0066;2021-02-13;1
130;CT2007-0067;2021-02-13;6
131;CT2007-0068;2021-04-06;6
132;CT2007-0069;2021-01-25;2
133;CT2007-0070;2021-02-19;9
134;CT2007-0071;2021-04-06;6
135;CT2007-0072;2021-04-06;6
136;CT2007-0073;2021-04-06;1
137;CT2007-0074;2021-04-06;9
138;CT2007-0075;2021-04-06;5
139;CT2007-0076;2021-01-04;3
140;CT2007-0077;2021-02-13;4
141;CT2007-0078;2020-12-21;0
142;CT2007-0079;2021-04-06;2
143;CT2007-0080;2021-04-06;4
144;CT2007-0081;2021-04-06;8
145;CT2007-0082;2021-01-25;2
146;CT2007-0083;2021-04-06;8
147;CT2007-0084;2021-04-06;1
148;CT2007-0085;2021-02-13;5
149;CT2007-0086;2020-11-10;6
150;CT2007-0087;2021-04-06;8
151;CT2007-0088;2020-11-10;5
152;CT2007-0089;2021-04-06;1
153;CT2007-0090;2020-12-29;0
154;CT2007-0091;2020-11-10;7
155;CT2007-0092;2020-11-10;2
156;CT2007-0093;2021-02-14;7
157;CT2007-0094;2021-02-13;1
158;CT2007-0095;2021-04-06;1
159;CT2007-0096;2021-04-06;9
160;CT2007-0097;2021-04-06;1
161;CT2007-0098;2021-04-06;5
162;CT2007-0099;2021-04-06;3
163;CT2007-0100;2021-04-06;0
164;CT2007-0101;2020-12-29;2
165;CT2007-0102;2021-02-13;6
166;CT2007-0103;2021-04-06;7
167;CT2007-0104;2021-04-06;4
168;CT2007-0105;2021-04-06;1
169;CT2007-0106;2021-04-06;5
170;CT2007-0107;2020-11-10;9
171;CT2007-0108;2021-04-06;7
172;CT2007-0109;2021-04-06;8
173;CT2007-0110;2021-01-07;0
174;CT2007-0111;2021-04-06;3
175;CT2007-0112;2021-01-04;5
176;CT2007-0113;2021-02-14;5
177;CT2007-0114;2020-12-30;7
178;CT2007-0115;2021-04-06;4
179;CT2007-0116;2020-12-31;9
180;CT2007-0117;2021-04-06;3
181;CT2007-0118;2020-12-29;5
182;CT2007-0119;2021-04-06;3
183;CT2007-0120;2021-04-06;6
184;CT2007-0121;2020-11-27;5
185;CT2007-0122;2021-04-06;4
186;CT2007-0123;2021-01-08;1
187;CT2007-0124;2021-04-06;4
188;CT2007-0125;2020-11-25;2
189;CT2007-0126;2020-11-10;6
190;CT2007-0127;2021-04-06;2
191;CT2007-0128;2021-04-06;5
192;CT2007-0129;2021-04-06;0
193;CT2007-0130;2020-12-29;1
194;CT2007-0131;2021-01-13;6
195;CT2007-0132;2021-04-06;8
196;CT2007-0133;2021-04-06;5
197;CT2007-0134;2021-04-06;2
198;CT2007-0135;2021-01-08;5
199;CT2007-0136;2021-04-06;0
200;CT2007-0137;2021-04-06;5
201;CT2007-0138;2020-11-10;9
202;CT2007-0139;2021-04-06;9
203;CT2007-0140;2021-02-13;2
204;CT2007-0141;2021-04-06;0
205;CT2007-0142;2021-04-06;6
206;CT2007-0143;2021-04-06;4
207;CT2007-0144;2020-11-26;8
208;CT2007-0145;2021-02-12;0
209;CT2007-0146;2021-04-06;5
210;CT2007-0147;2021-04-06;4
211;CT2007-0148;2021-01-25;2
212;CT2007-0149;2020-11-10;2
213;CT2007-0150;2021-04-06;8
214;CT2007-0151;2021-02-13;7
215;CT2007-0152;2021-04-06;4
216;CT2007-0153;2021-04-06;7
217;CT2007-0154;2021-04-06;5
218;CT2007-0155;2021-01-20;2
219;CT2007-0156;2021-04-06;6
220;CT2007-0157;2021-02-14;2
221;CT2007-0158;2020-12-14;2
222;CT2007-0159;2021-02-13;9
223;CT2007-0160;2021-04-06;3
224;CT2007-0161;2021-04-06;3
225;CT2007-0162;2021-01-21;7
226;CT2007-0163;2021-04-06;1
227;CT2007-0164;2021-04-06;1
228;CT2007-0165;2021-04-06;9
229;CT2007-0166;2021-01-20;1
230;CT2007-0167;2021-02-12;1
231;CT2007-0168;2021-03-15;5
232;CT2007-0169;2021-04-06;5
233;CT2007-0170;2021-02-10;9
234;CT2007-0171;2021-02-19;4
235;CT2007-0172;2021-04-06;2
236;CT2007-0173;2021-04-06;2
237;CT2007-0174;2021-04-06;3
238;CT2007-0175;2020-12-04;4
239;CT2007-0176;2021-02-13;6
240;CT2007-0177;2021-02-13;8
241;CT2007-0178;2020-11-10;9
242;CT2007-0179;2021-02-13;9
243;CT2007-0180;2021-04-06;4
244;CT2007-0181;2021-04-06;8
245;CT2007-0182;2020-12-04;1
246;CT2007-0183;2021-02-12;8
247;CT2007-0184;2021-04-06;2
248;CT2007-0185;2020-11-27;3
249;CT2007-0186;2021-04-06;9
250;CT2007-0187;2021-04-06;7
251;CT2007-0188;2021-02-12;9
252;CT2007-0189;2021-04-06;8
253;CT2007-0190;2021-04-06;8
254;CT2007-0191;2021-04-06;1
255;CT2007-0192;2021-01-27;8
256;CT2007-0193;2021-04-06;9
257;CT2007-0194;2021-04-06;8
258;CT2007-0195;2021-04-06;7
259;CT2007-0196;2021-04-06;8
260;CT2007-0197;2021-04-06;5
261;CT2007-0198;2021-04-06;2
262;CT2007-0199;2021-04-06;5
263;CT2007-0200;2021-04-06;8
264;CT2007-0201;2021-02-14;6
265;CT2007-0202;2021-01-27;2
266;CT2007-0203;2021-04-06;7
